전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명)
전국,전국,"4,046,536","4,210,164","3,687,938","4,860,418","5,297,969","9,011,440","6,773,250","7,397,623","8,410,276","7,324,380","8,258,573","8,194,516","8,616,474","9,795,811","9,043,238","8,679,097","8,660,428","9,308,750","9,969,020","9,316,219","9,459,209","8,980,841","9,031,576","8,807,058","8,791,714","9,073,069","8,854,973","8,819,909","8,156,318","9,435,347","9,009,441","9,289,949","9,584,461","9,516,605","8,567,795","8,795,397","9,342,074","9,070,102","8,808,256","8,487,275","8,226,594","8,127,195","7,506,691","7,411,784","7,629,098","7,755,286","7,378,430","7,154,226"
전국,서울특별시,"1,742,813","1,671,705","1,349,333","1,831,858","2,050,392","3,396,662","2,756,510","2,893,403","3,307,439","2,589,667","2,767,816","2,859,860","2,997,854","3,434,184","3,052,558","2,784,387","2,683,013","2,853,398","3,388,387","3,049,117","2,726,492","2,437,238","2,395,814","2,259,333","2,240,086","2,165,332","2,159,555","2,074,884","1,802,931","2,337,989","2,219,407","2,295,784","2,318,051","2,242,723","1,926,235","1,990,749","2,173,907","2,078,045","2,025,358","1,873,188","1,733,015","1,721,748","1,555,281","1,520,090","1,573,594","1,589,431","1,515,602","1,472,937"
전국,부산광역시,"448,577","389,797","362,202","482,061","680,984","805,979","724,664","785,117","895,337","809,483","904,252","852,671","932,367","919,150","872,967","821,207","831,658","918,310","892,506","790,991","761,684","741,748","771,852","708,358","668,188","676,037","679,854","641,886","602,418","660,060","595,975","604,650","600,936","625,355","539,108","552,771","559,915","529,343","514,502","519,310","519,334","508,043","461,042","478,451","485,710","507,031","459,015","439,073"
전국,대구광역시,-,-,-,-,-,-,-,-,-,-,-,"514,009","553,068","607,848","552,902","539,361","533,854","590,786","579,187","539,730","526,547","525,249","558,826","524,585","545,677","534,013","507,085","485,263","462,722","496,811","477,595","448,898","466,894","487,515","418,278","440,350","428,417","399,853","409,938","398,626","370,817","370,563","348,642","351,873","350,213","351,424","328,228","321,182"
전국,인천광역시,-,-,-,-,-,-,-,-,-,-,-,"332,958","333,362","398,906","425,509","409,361","382,620","434,814","476,438","472,576","567,863","503,687","509,700","505,825","506,471","481,438","482,811","512,513","447,707","494,576","531,318","526,842","540,812","510,347","462,835","502,168","523,457","576,619","565,585","478,169","462,051","499,567","468,666","461,613","452,297","473,223","441,646","409,465"
전국,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"254,634","257,011","336,312","308,307","330,810","356,080","346,330","300,357","312,343","307,188","298,679","328,978","295,529","324,045","301,498","300,467","294,120","304,505","284,734","290,429","301,479","286,105","268,757","293,879","268,574","260,561","228,612","226,696","243,066","224,603","213,176","208,138"
전국,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"256,234","296,756","310,452","295,662","335,871","315,639","314,804","287,663","295,198","267,578","322,783","312,560","304,985","302,944","304,736","280,028","287,835","294,814","283,080","263,532","252,424","262,432","264,244","239,635","230,858","239,559","220,774","219,252","211,449"
전국,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"185,987","164,160","179,485","166,690","170,587","176,413","191,255","184,499","169,681","174,389","180,375","181,662","159,953","161,146","164,963","161,433","159,492","176,015","170,393","148,190","135,199"
전국,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,784","23,805","56,526","83,994","65,052","82,073"
